                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8232,                 3.4836,                 1.6543,                0.03166,                  0.125,                  0.114,                0.05925,                 2.0238,                 3.2704,                 1.8447,             0.00054433,             0.00054433,             0.00054433
                      2,                 1.8031,                 2.8596,                 1.7171,                0.48158,                   0.35,                0.28165,                0.10666,                 1.9881,                 2.4374,                 2.0917,              0.0010891,              0.0010891,              0.0010891
                      3,                 1.8335,                 2.5231,                 1.6284,                0.29994,                  0.225,                0.23479,                0.09457,                 1.8798,                 2.8021,                 2.0631,              0.0016229,              0.0016229,              0.0016229
                      4,                 2.0116,                 3.3862,                 1.7671,                0.39324,                  0.225,                0.28241,                0.10672,                 2.2607,                 2.5606,                 2.2349,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.8762,                 2.6349,                 1.7331,                0.56995,                   0.35,                0.42036,                0.18125,                 1.9404,                 2.3247,                 2.0369,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.7548,                   2.39,                  1.583,                0.87118,                0.29341,                0.47478,                0.21096,                 1.9598,                 1.9772,                 2.0072,               0.001601,               0.001601,               0.001601
                      7,                 1.7704,                 2.2969,                 1.6152,                0.97065,                0.22288,                0.37011,                0.14332,                 2.0088,                 2.0324,                  1.958,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.8368,                 2.3632,                 1.6576,                 0.5858,                0.33417,                0.39602,                0.15448,                 1.9014,                 1.9969,                 1.7736,               0.001568,               0.001568,               0.001568
                      9,                 1.8748,                 2.5044,                 1.6715,                0.50228,                    0.2,                0.23096,                0.10868,                 1.7764,                 2.3583,                 1.7131,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.6508,                 2.2124,                 1.6487,                0.64357,                  0.225,                0.31125,                0.14863,                 1.8545,                 2.2942,                 1.7455,               0.001535,               0.001535,               0.001535
                     11,                 1.7351,                 2.3138,                 1.6116,                0.59575,                    0.6,                0.60953,                0.22177,                 1.9023,                 1.5598,                  1.882,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.7351,                 2.2948,                 1.6462,                0.58268,                  0.575,                0.59318,                0.21199,                 1.8504,                 1.5521,                 1.7651,               0.001502,               0.001502,               0.001502
                     13,                 1.7542,                 2.1477,                 1.6121,                0.38135,                0.52701,                0.46901,                0.20817,                 1.8349,                 2.0575,                 1.7168,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.7553,                 1.9401,                 1.5914,                0.40827,                    0.5,                0.40045,                0.17087,                 2.0038,                 2.3124,                 1.8968,               0.001469,               0.001469,               0.001469
                     15,                 1.7755,                 2.1633,                 1.6524,                0.62523,                 0.5854,                0.57914,                0.20321,                 2.0371,                 2.4278,                 2.0507,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.6614,                 2.0948,                 1.5008,                0.72548,                 0.5317,                0.54879,                0.19543,                 2.0063,                 1.8528,                 1.9414,               0.001436,               0.001436,               0.001436
                     17,                 1.6387,                 1.9879,                 1.5454,                0.57886,                0.41035,                0.49925,                0.18671,                 1.9559,                 1.6962,                 1.8095,              0.0014195,              0.0014195,              0.0014195
