                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0592,                0.93168,                 1.4525,                      1,                0.99041,                  0.995,                 0.7234,                0.93848,                0.64439,                 1.6237,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0916,                0.89703,                 1.4194,                0.99056,                      1,                  0.995,                0.74709,                0.96562,                0.62173,                  1.667,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1255,                 1.0053,                 1.4548,                 0.9867,                      1,                  0.995,                0.74207,                0.97133,                0.65738,                 1.6595,               0.000614,               0.000614,               0.000614
                     38,                 1.1127,                0.94901,                 1.4555,                 0.9778,                      1,                  0.995,                0.71379,                 1.0071,                0.66446,                 1.6635,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1111,                0.97119,                 1.4372,                0.98915,                      1,                  0.995,                0.72608,                0.97746,                0.66417,                 1.6642,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1058,                0.91173,                 1.4408,                0.92834,                      1,                 0.9825,                0.72431,                0.93954,                0.72398,                 1.6249,              0.0004952,              0.0004952,              0.0004952
                     41,                0.90636,                0.81037,                 1.4419,                0.99019,                      1,                  0.995,                0.76404,                0.87278,                0.59999,                 1.5431,              0.0004556,              0.0004556,              0.0004556
                     42,                0.85176,                 0.9083,                 1.3372,                0.99564,                      1,                  0.995,                0.76154,                0.85383,                0.57464,                  1.529,               0.000416,               0.000416,               0.000416
                     43,                0.86669,                0.74609,                 1.3986,                0.99771,                      1,                  0.995,                0.76196,                 0.8298,                0.62186,                 1.5069,              0.0003764,              0.0003764,              0.0003764
                     44,                0.85374,                0.71072,                 1.3977,                0.98758,                      1,                  0.995,                0.76511,                0.80732,                0.63667,                 1.4583,              0.0003368,              0.0003368,              0.0003368
                     45,                0.87632,                0.80297,                 1.3731,                      1,                0.99866,                  0.995,                0.79063,                  0.787,                0.60657,                 1.4513,              0.0002972,              0.0002972,              0.0002972
                     46,                0.84665,                0.70751,                 1.4238,                      1,                0.99435,                  0.995,                0.77261,                0.79144,                0.60329,                 1.4342,              0.0002576,              0.0002576,              0.0002576
                     47,                0.81595,                0.72443,                 1.3363,                      1,                0.99434,                  0.995,                0.77731,                0.77887,                0.61241,                 1.4111,               0.000218,               0.000218,               0.000218
                     48,                0.83416,                0.66587,                 1.3413,                 0.9959,                      1,                  0.995,                0.76737,                 0.8296,                0.56414,                 1.4572,              0.0001784,              0.0001784,              0.0001784
                     49,                0.84153,                0.66682,                 1.3721,                0.99408,                      1,                  0.995,                0.78579,                0.81797,                0.55899,                 1.4737,              0.0001388,              0.0001388,              0.0001388
                     50,                0.82731,                0.69178,                 1.3574,                0.99851,                      1,                  0.995,                 0.7791,                0.80258,                0.57974,                 1.4551,               9.92e-05,               9.92e-05,               9.92e-05
