                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1909,                0.95914,                 1.5337,                0.91752,                0.93333,                0.98033,                0.66424,                 1.2059,                0.83589,                 1.8997,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1266,                0.90361,                 1.4427,                      1,                0.92992,                0.98794,                0.72432,                 1.0767,                0.64717,                 1.8343,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1381,                 0.9944,                 1.4867,                0.78018,                      1,                0.95368,                 0.5748,                  1.311,                0.86385,                 2.0804,               0.001307,               0.001307,               0.001307
                     38,                 1.1562,                 0.9634,                 1.4931,                0.99082,                0.86667,                0.96763,                0.68128,                 1.1001,                0.79915,                  1.818,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.182,                 1.0126,                 1.4982,                0.98788,                0.86667,                0.93263,                0.67143,                  1.083,                0.80578,                 1.7601,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1832,                0.96597,                 1.5108,                0.92752,                0.93333,                0.96028,                0.71571,                0.96869,                0.77595,                  1.572,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1044,                0.88105,                 1.4286,                 0.9904,                0.93333,                  0.971,                0.71864,                0.98217,                0.66061,                 1.5927,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1473,                0.89988,                 1.5038,                0.99418,                0.93333,                  0.985,                0.73364,                0.98623,                0.59425,                 1.6359,               0.001208,               0.001208,               0.001208
                     43,                 1.0975,                0.86643,                  1.429,                0.99403,                0.93333,                  0.985,                0.75477,                0.97354,                0.58054,                 1.6786,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1237,                0.89432,                  1.445,                0.99929,                      1,                  0.995,                0.76674,                0.94828,                0.53804,                 1.6207,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0813,                0.90704,                 1.4135,                0.99545,                      1,                  0.995,                0.73414,                0.95267,                0.51537,                 1.6076,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1061,                0.88343,                  1.426,                0.98628,                      1,                  0.995,                0.72421,                0.94909,                0.59792,                 1.6272,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1784,                0.94755,                 1.4893,                      1,                0.99498,                  0.995,                0.74638,                0.95576,                0.58183,                 1.6068,               0.001109,               0.001109,               0.001109
                     48,                 1.0674,                0.82921,                  1.391,                      1,                0.99625,                  0.995,                0.69563,                  1.057,                0.58186,                 1.7815,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1041,                0.91873,                 1.4665,                      1,                0.99428,                  0.995,                0.73069,                0.98266,                0.58101,                   1.69,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1122,                0.88129,                 1.4461,                      1,                0.99829,                  0.995,                0.71789,                0.96057,                0.59102,                 1.6791,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1392,                0.88274,                 1.4452,                      1,                0.93204,                0.98237,                0.66799,                 1.0385,                0.67142,                 1.7338,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1456,                0.95518,                 1.4425,                      1,                 0.8573,                0.95265,                0.69834,                0.97542,                0.84579,                 1.6576,                0.00101,                0.00101,                0.00101
                     53,                 1.0468,                0.89123,                 1.3915,                 0.9282,                0.86219,                0.95446,                0.71186,                0.89732,                0.86508,                 1.5853,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1356,                 0.8816,                 1.4689,                      1,                0.92972,                0.99125,                0.74969,                0.94014,                0.58365,                 1.6255,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0294,                0.81968,                 1.4078,                      1,                0.99887,                  0.995,                0.72887,                 1.0543,                0.57453,                 1.7487,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0682,                0.87245,                 1.4174,                0.99704,                      1,                  0.995,                0.73455,                 1.0299,                0.54158,                 1.7334,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0687,                0.90781,                 1.4166,                0.99745,                      1,                  0.995,                0.72238,                 1.0656,                0.60616,                 1.7844,               0.000911,               0.000911,               0.000911
                     58,                 1.0811,                0.80975,                 1.4384,                0.99318,                      1,                  0.995,                0.74684,                0.95685,                0.56445,                 1.6024,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0588,                0.83749,                  1.402,                0.99973,                      1,                  0.995,                0.75312,                0.94759,                0.57277,                 1.6122,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.064,                0.82811,                  1.398,                0.99481,                0.93333,                0.98237,                0.74518,                0.92845,                0.69314,                 1.6305,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0819,                0.85902,                 1.4808,                0.99529,                0.93333,                0.98794,                0.72448,                0.97621,                0.70403,                 1.6577,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0442,                0.83339,                 1.3766,                      1,                0.99352,                  0.995,                0.72254,                0.97742,                0.71528,                 1.6469,               0.000812,               0.000812,               0.000812
                     63,                 1.0598,                0.85386,                 1.3933,                      1,                0.99807,                  0.995,                0.72207,                0.99131,                0.71033,                 1.6159,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.026,                0.83463,                 1.3907,                      1,                0.91782,                  0.985,                0.71492,                0.96491,                0.73051,                 1.5845,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0379,                0.79353,                 1.3996,                0.93483,                0.95721,                0.98688,                0.71478,                0.94613,                0.71536,                 1.5554,              0.0007526,              0.0007526,              0.0007526
                     66,                0.98513,                0.73571,                 1.3619,                0.99922,                0.93333,                0.98794,                0.75969,                0.92149,                0.60555,                 1.5484,              0.0007328,              0.0007328,              0.0007328
                     67,                0.96042,                0.78351,                 1.3571,                      1,                0.98715,                  0.995,                0.75113,                0.93556,                0.56563,                 1.5611,               0.000713,               0.000713,               0.000713
                     68,                  1.012,                0.82554,                 1.3716,                0.93385,                      1,                0.99125,                0.74652,                0.95884,                0.58384,                 1.6209,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0012,                 0.7722,                 1.3442,                0.93746,                0.99938,                0.99125,                 0.7469,                0.99935,                0.61802,                 1.6264,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0341,                0.78081,                 1.3628,                 0.9306,                      1,                0.99125,                0.74676,                 1.0411,                 0.6351,                 1.6607,              0.0006536,              0.0006536,              0.0006536
                     71,                0.99198,                0.77524,                 1.3456,                0.98582,                0.93333,                0.99125,                0.71887,                 1.0515,                0.63803,                 1.6965,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0295,                0.74581,                 1.3809,                 0.9367,                 0.9872,                0.99125,                0.72736,                 1.0041,                  0.659,                 1.6605,               0.000614,               0.000614,               0.000614
                     73,                 1.0338,                0.78824,                 1.3765,                0.91427,                0.93333,                0.97567,                0.75369,                0.98621,                0.67609,                 1.5889,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.9851,                 0.7277,                 1.3496,                0.93121,                0.93333,                0.97861,                0.71673,                0.98832,                0.64132,                 1.5812,              0.0005744,              0.0005744,              0.0005744
                     75,                0.98683,                0.74407,                 1.3764,                      1,                 0.9223,                0.98794,                0.72834,                  1.003,                 0.6057,                 1.6026,              0.0005546,              0.0005546,              0.0005546
                     76,                0.96853,                0.72076,                 1.3367,                0.88166,                0.99375,                0.97471,                0.72604,                0.99157,                0.65414,                 1.6117,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0101,                0.74482,                 1.3966,                0.86984,                      1,                0.97861,                0.72911,                0.97549,                0.64832,                 1.5997,               0.000515,               0.000515,               0.000515
                     78,                0.99623,                0.75134,                 1.3572,                 0.8793,                      1,                0.98688,                0.76227,                0.92856,                0.58484,                  1.547,              0.0004952,              0.0004952,              0.0004952
                     79,                0.99067,                0.76808,                 1.3574,                0.99839,                0.86667,                0.97333,                0.74111,                0.93821,                0.60884,                 1.5405,              0.0004754,              0.0004754,              0.0004754
                     80,                0.96871,                0.71291,                 1.3509,                      1,                0.86348,                0.98327,                 0.7785,                0.90771,                0.60723,                 1.5376,              0.0004556,              0.0004556,              0.0004556
                     81,                0.93348,                  0.701,                 1.3299,                0.98706,                0.93333,                0.98794,                0.73371,                 0.9519,                0.60594,                 1.6333,              0.0004358,              0.0004358,              0.0004358
